id_transaction,payer_id,transaction_type,transaction_amount,timestamp,latitude_payer,longitude_payer,latitude_receiver,longitude_receiver,approved
41b5a911-ab35-4d1d-8478-a1b3da9a3d1d,e1ffb608-6b15-4418-b292-620f8407e50f,DOC,140.78,2025-05-25 13:47:23,-4.040178,-45.205837,-4.5961180590234605,-45.04638590765531,True
c47887de-6e84-40e2-8e6a-29af2103dd47,ddec742c-b1cd-462d-9065-a825a5ddaa02,DOC,50.88,2025-06-09 08:27:46,-31.934887,-39.945895,-31.145280592246305,-39.562177635423545,False
c17742be-c436-47a5-830d-61b4f7338661,5a042dc7-6db5-4e81-a028-f9bf5c52abd6,Debit Card,6.24,2025-06-07 14:05:13,-3.440317,-41.268248,-3.7307560670117574,-41.53083290358907,True
f2706120-4fa4-4d9a-80ce-c8b5ea7a2420,b594b42e-af29-4e98-82df-9e6f005c7c7e,DOC,60.78,2025-06-16 06:04:11,-24.24243,-53.329548,-25.104888916256517,-53.61069176462049,False
4278ca81-0a81-4b00-928d-1757229030d3,1331b4a8-36b4-49d6-a4d6-073256ce139d,Debit Card,283.91,2025-06-12 11:19:17,-29.390817,-62.44793,-29.7424889008537,-63.517740328038116,False
a601a105-421a-4591-8037-6853e25a1609,4b243c74-ac78-4a9c-be49-691e71148cd3,TED,461.38,2025-06-14 09:48:21,-27.510194,-53.74201,-27.78238536226259,-53.686548705145064,False
7ac2a94d-86dc-4f73-829c-94a72e9057e2,3810c289-59e0-49d4-97e5-8de327d2a5bf,DOC,280.6,2025-06-07 00:24:58,-28.421121,-71.349978,-28.721247925052957,-70.87625808947668,True
e75333c0-8676-46f2-b1e5-626115877266,23f0a421-8875-40c3-9163-742f5cec34f2,Debit Card,30.83,2025-06-13 16:59:31,-12.367718,-56.646022,-12.374466612368966,-57.17487746447795,False
3eda0252-7fc8-448b-8496-2a4a7d1d6030,489a6f91-45a1-4df2-9624-0d5f0be37a3d,TED,10.5,2025-05-28 17:21:27,-5.333737,-63.755825,-5.966296556961321,-63.209828867821166,True
f1739dab-3b92-46cb-a27d-82f835bcc915,82078f6e-57c5-411a-9237-f6d6ae2c8164,DOC,220.23,2025-06-01 18:21:01,-16.665304,-66.653705,-16.296070710002294,-66.56802085940501,False
0633b34e-53c4-4197-bad2-dc2ce555dcc9,edb86722-117e-4ff9-b38f-4b2196eab3a5,Credit Card,27.8,2025-06-06 18:33:11,-27.625536,-72.12709,-28.130078671432553,-72.91873710676843,True
740e5d68-654c-4aad-9c35-d9287109bd7e,8d5cd23d-75af-421d-8897-758aab20d875,TED,94.97,2025-06-13 04:23:25,-7.851953,-59.91527,-7.6801438552157695,-60.796790077681365,False
53bfc195-a287-4921-b6ba-f3af4e0dfbee,8c5b0ff1-53cc-4a65-88c0-cf914fe77f82,TED,45.57,2025-05-26 08:33:39,-8.681344,-70.977615,-8.39028260264348,-70.53374077020332,True
56e4db7f-3962-4a95-8216-8f6a7699438d,dc503c22-229e-44fc-9e36-f56d44507fb9,DOC,391.7,2025-06-02 07:50:30,-9.647802,-70.99745,-10.06741076161132,-71.15205618792561,True
073b7e4a-7102-48c2-b5ab-da29d3557db4,9e8baf15-7a16-4f38-9bcf-e51c54f3aeb2,DOC,596.56,2025-05-26 21:34:55,-14.271934,-60.928797,-14.360800060635327,-61.133988654343156,True
e2025f81-7b80-40a1-b8a2-d48efcb7cbd5,14a654ba-04ea-48c2-8cd3-765bdaaa5b42,PIX,117.99,2025-06-02 03:19:01,-10.949807,-48.907747,-10.985812060790167,-48.405980551053986,True
d9ee74f5-9764-4f22-9b63-99b8ac618b60,642a53a3-ada3-46e9-b1ef-6b6204277691,TED,38.21,2025-06-13 11:29:30,-11.4611,-44.077226,-10.713382873558263,-43.90813537400334,False
2ec378bc-1774-45a3-a232-5291579f71e6,5ff7518f-4aa3-422a-b589-31321272324b,Credit Card,204.24,2025-05-28 19:44:10,-17.414599,-57.140392,-17.371075465880914,-57.289895675232934,False
058c4383-50df-472b-9f97-e427d85112f1,2af7a3d5-ec45-46b5-afc5-fe0d0f97fa39,Credit Card,113.22,2025-05-24 20:31:36,-17.857166,-38.323394,-18.124374226836753,-39.070920935407166,False
d3177397-e50c-4a24-a451-e3ad28f48cea,35192153-6e94-4852-8908-0fbfce547cff,Debit Card,422.62,2025-05-30 12:20:15,-26.600057,-70.882388,-27.004303801446593,-71.13326652179228,True
bf6bdf2b-1fa7-405d-863f-1655135b7d2f,8c4ab273-c07b-42bc-8e1e-2f2c70be3d67,Credit Card,796.49,2025-06-02 17:31:15,-8.496238,-49.070573,-8.36767956497186,-48.913316552068416,True
24941b25-ae23-473d-a382-e2ff2eb55847,fb8d1804-730a-41c1-a15c-0623178ca890,DOC,61.95,2025-05-22 02:42:06,-5.857531,-52.757784,-6.2085575469386765,-52.92161507329889,True
aeb8ee9c-033f-45ab-8b7d-ff5195ea1dc9,ae787b58-fa5f-440e-8f66-a6a51c2edba7,TED,77.61,2025-06-08 14:19:56,-20.402882,-41.833821,-21.730470023781738,-41.66106202805562,False
86ba0582-2ac5-4efb-a7e4-08c5f03f97a0,2892c18d-871e-4c32-b9ef-877b3133524a,Credit Card,75.35,2025-06-04 14:47:24,-30.004207,-60.665485,-30.084849855833006,-60.46345957159273,True
82a41b3a-e5bd-4b26-b9c5-19eca3c57a8c,0a696d30-b44a-4a10-852d-62374dea6525,DOC,219.44,2025-05-27 16:41:10,-11.780658,-59.64572,-11.789933402255821,-60.48247231099511,True
fcf8ebec-e849-4ba5-a274-37ceb1b9be0a,228f9182-3cd0-4692-bb56-de9434adc1cf,Credit Card,107.38,2025-06-01 15:06:52,-24.848735,-72.454032,-24.81861989502949,-71.22241094375735,True
a7cfea84-6d38-4d38-aa41-647a40ca60ee,e9aff65e-d90d-4888-b070-f400d61d94ca,DOC,15.86,2025-05-26 07:03:03,-25.042298,-38.295977,-25.3296526038067,-38.50672611016994,True
08c738fa-f339-4351-bfcc-15ffcec06753,5ee9307f-325f-405e-8d0f-89af3982c3c0,PIX,201.68,2025-05-19 13:25:13,-2.948423,-64.411433,-2.3770115927424897,-64.03546648365662,True
302bf25e-6f36-4774-a576-27db103c6e02,7a112a6c-eb31-4736-a678-ee07e507c5a0,TED,81.4,2025-06-14 18:34:04,-10.993239,-59.482901,-10.290636347060907,-58.78673812325405,True
993373b7-0451-47cc-a2c4-3eeabaab31af,f4ab0568-43f4-48b5-9f2d-782f921d5090,TED,230.22,2025-06-02 00:39:09,-30.928445,-41.156142,-31.423713162565345,-41.439290864801386,False
a5d1f175-3467-457a-9eae-848db1391833,77461717-dc74-460d-8cb7-c5b28ec314ea,DOC,12.49,2025-05-19 14:07:08,-15.284596,-47.339477,-15.280023827129932,-47.52224664841627,False
6685c23a-9eb7-444d-98d7-a14d35a5be36,914e7b75-401e-41af-b9ab-3ed2be04abef,DOC,77.05,2025-06-13 15:23:16,-13.58835,-67.064836,-14.048062117116901,-66.28986879749122,False
860aa62f-b357-4391-93c5-11f8552888f9,976c2212-5cb7-4f47-9d82-3518a927067d,DOC,828.1,2025-06-07 05:08:42,-29.45247,-60.530199,-29.630842512884097,-60.25213810073302,False
15391a35-50a2-4688-8a15-2f7b76e1f38e,ff0d49ad-3e4d-4b9c-88c5-d67b91c5fbe6,Credit Card,323.63,2025-06-13 12:22:57,-8.211806,-52.136128,-9.015547617280614,-52.043811070733845,False
f780953f-23ac-4dde-a855-9553fb0b21ae,e8f555ae-b84e-4222-9c5d-d9939aa9b2ee,DOC,29.32,2025-05-24 03:25:41,-5.712008,-38.603612,-6.432028723841899,-38.008248371943175,False
c0b5139e-5173-491f-adce-3ad31c30c6c7,a8e02a69-7930-4ed8-ae75-79d86023f20a,DOC,128.87,2025-05-27 11:36:13,-11.063885,-38.733278,-10.938638574827063,-38.560053895251514,True
4d4781d1-74ca-4618-b222-acfe40c1a761,a5aa8d89-9499-4a3e-853a-0bdcc7d964cf,Credit Card,308.19,2025-05-25 12:13:37,-31.120626,-67.564154,-31.007481865250565,-67.14045328371168,True
189d52b2-8f8b-4698-ae07-528044e60afa,00e8187d-9aac-443d-bb26-fbe483b419fe,DOC,2.77,2025-05-25 01:35:22,-30.579014,-47.890731,-29.646126744427622,-47.65381453954411,False
3a33caf3-5583-4867-8328-c06caff3d552,06c9c7c6-7e98-42ed-bae6-572c2eb189b0,TED,316.63,2025-05-25 16:44:35,-26.741584,-45.982575,-27.117173712331965,-46.54778902656026,False
515675b1-c71f-4eba-a533-cc4ee24b7177,41a9888c-7db7-447e-8ba9-b444d2286e9c,Credit Card,411.71,2025-06-04 18:42:43,-13.448972,-40.610442,-13.037941920002755,-39.662045508673025,True
f261e22f-defe-4941-8d7c-d62da547d438,b1e715dd-78ae-4751-a514-62962d088733,Debit Card,29.51,2025-05-27 02:49:24,-22.258881,-63.504067,-21.81954422590455,-63.6238642540969,False
92ab1eb2-14c1-4019-aad4-29c222a0f049,5ba03ef9-b860-41bc-92ee-17928ed1b106,Debit Card,299.2,2025-06-08 01:37:07,-8.912147,-54.196626,-9.044475416618978,-52.836541416705195,True
b57cf29f-34cf-4bff-be41-5318829a4dc6,475c8baa-c07b-493c-a173-f1ef388e3568,TED,65.16,2025-06-02 20:54:52,-11.173371,-62.893723,-11.152380967764987,-62.96235890854891,True
1f2f2c7e-5ceb-454b-b261-91f3d63e3b0f,39b13bd8-9486-419d-8b6f-cd978b316857,PIX,58.48,2025-06-12 20:56:13,-4.360669,-36.506,-4.472400392662925,-36.148999752953955,True
c1835057-9542-4dba-982c-0da9a760dc8e,84568f9d-c030-4472-a467-bb1ff7c32d8d,DOC,4.67,2025-05-25 08:46:12,-4.740045,-57.115181,-4.9662761161723346,-56.7266561025482,True
79492793-81a2-4a87-b983-a04b7b0e0901,4c671476-d126-497f-8b59-fb00e81ac6ce,PIX,145.89,2025-06-02 19:46:49,-7.151979,-61.476657,-7.0449321279348975,-62.099526389355994,False
c161bd62-77f9-4090-901e-4e70ae2b6f5f,161f3e67-1869-4935-a720-6eb415e4240a,Credit Card,825.39,2025-05-28 19:58:12,-11.999069,-51.553602,-11.883592138527433,-51.95807044569518,True
d6ad2174-2c3b-479f-9f48-30b000054f83,bdd1651c-03cf-42b4-83b2-100198557ac1,DOC,1383.17,2025-06-17 02:52:27,-29.372375,-53.581478,-29.19348131982586,-53.30108573681588,False
bbcd6f6c-f93e-49f4-923b-c89f81dc7571,9925d956-0453-40c9-9b5c-57ac4a9c6bb8,PIX,358.22,2025-06-09 15:07:03,-11.797372,-59.807947,-11.34481102002172,-60.10989918624227,True
